Location,SubReg,Country,lat,long,NotStart6,Pop6,NotECCE3_5, Pop3_5,NotSch3_6,PerNot3_6,OutSch6_12 ,Pop6_12,OutSch13_17, Pop13_17,SchLeave6_17, PerSchLv6_17 ,NEET18_30N,NEET18_30P ,NEET15_24N ,NEET15_24P,Subsistence Economy,GridElec, OpenDefec,HH_Num,TotPop,MobOwnTot, HH_TV,HlthInsur
Ibanda,Ankole,Uganda,-0.1328418,30.4956961,5215,7484,7919,23797,13134,42,7263,52412,11141,40077,18404,19.9,24928,36.9,19133,29.4,19870,11545,887,72861,309466,17258,16335,1489
Iganga,Busoga,Uganda,0.6154854,33.4794594,7570,13004,21546,39364,29116,55.6,20406,85198,18103,56079,38509,27.3,58052,58.9,44419,48.1,25665,36914,2611,101789,426958,21524,26633,1790
Isingiro,Ankole,Uganda,-0.795591,30.8171008,13509,17800,28813,58143,42322,55.7,33363,124855,30812,83790,64175,30.8,57389,44.9,46890,37.2,46826,17191,5661,148301,635077,25380,25860,9999
Jinja,Busoga,Uganda,0.6067,33.21868,4382,8018,11508,24263,15890,49.2,8908,52864,9550,37089,18458,20.5,35764,54.6,25870,42.3,18096,20521,1691,64760,280905,13747,15575,3155
Jinja City,Busoga,Uganda,0.4753036,33.2455568,3521,6779,8136,20637,11657,42.5,7392,44642,9151,35037,16543,20.8,35523,46.8,25233,38.2,7766,48383,588,71326,279184,34722,32375,3505
Kaabong,Karamoja,Uganda,3.5091967,34.137534,10365,11848,32375,34250,42740,92.7,54731,65477,26556,32566,81287,82.9,36771,60.1,30424,58.8,36446,371,15364,43732,264631,2711,617,1755
Kabale,Kigezi,Uganda,-1.3525,30.02552,2988,6798,9425,20566,12413,45.4,8411,46142,9727,32360,18138,23.1,22542,37.5,16451,30.3,18516,16837,524,66752,285588,21991,11690,4190
Kabarole,Tooro,Uganda,0.72611,30.34401,4044,6745,10648,21322,14692,52.3,10451,44114,10265,28557,20716,28.5,22846,47.6,17820,40.9,17798,6205,1471,58384,230368,9342,10506,1193
Kaberamaido,Teso,Uganda,1.7638442,33.1572065,2005,4190,9137,13186,11142,64.1,5877,28181,5305,18631,11182,23.9,20505,60.5,15034,46.9,14149,549,2151,28348,140986,3511,1850,274
Kagadi,Bunyoro,Uganda,0.9382538,30.8102587,8944,15209,29772,48109,38716,61.1,26656,99183,24208,59416,50864,32.1,41162,41,34110,36.2,31506,8269,3961,106203,471111,15325,15921,1351
Kakumiro,Bunyoro,Uganda,0.97856,31.27743,8807,13754,26166,44292,34973,60.3,23567,89568,20988,51143,44555,31.7,35501,39,29030,35.4,26530,8460,2790,103613,428176,11398,14375,969
Kalaki,Teso,Uganda,1.8149082,33.337369,2144,4628,10509,14887,12653,64.8,6356,30585,5301,19664,11657,23.2,21260,61.3,15622,46.7,15821,639,3087,30511,149736,3557,1377,425
Kalangala,Buganda,Uganda,-0.3201069,32.2924243,946,1492,2346,5132,3292,49.7,1479,8431,1315,4369,2794,21.8,5222,34,3369,33.4,5101,6524,2293,26564,74411,5668,7245,658
Kaliro,Busoga,Uganda,1.09663,33.47375,5691,9062,19566,28848,25257,66.6,17018,58813,12932,36853,29950,31.3,39663,63.2,30206,50.7,33838,3524,3332,69865,286397,5522,5596,554
Kalungu,Buganda,Uganda,-0.10118,31.80779,3732,6326,8486,18658,12218,48.9,7580,42303,8667,30183,16247,22.4,19546,45.7,15449,35.1,13610,14090,728,50191,221569,10642,15662,898
Kampala,Kampala,Uganda,0.3177137,32.5813539,13359,30159,33161,96628,46520,36.7,29526,193754,43220,151249,72746,21.1,173590,34.1,118220,31.9,8959,481004,2594,529057,1797722,479840,322886,62372
